number,value,params_lncrna_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
127,0.9539097567708854,4.751688706651809,30.0,sqrt,6,15,290,COMPLETE
128,0.9578343725153028,5.306332816523815,30.0,sqrt,10,17,250,COMPLETE
129,0.9582872706895592,5.989238710147472,30.0,sqrt,10,14,280,COMPLETE
130,0.958409622706443,5.650106235853184,30.0,sqrt,10,16,320,COMPLETE
131,0.9580604657473573,5.397829377321217,30.0,sqrt,10,16,220,COMPLETE
132,0.9582292160685834,5.7287130801010555,30.0,sqrt,10,15,240,COMPLETE
133,0.9585226538547222,5.971587837288933,30.0,sqrt,10,18,220,COMPLETE
134,0.9573160062468545,5.11675868575704,30.0,sqrt,10,18,270,COMPLETE
135,0.9579137140529755,5.490132505953311,30.0,sqrt,10,19,260,COMPLETE
136,0.9508864455255157,5.008507472250321,30.0,0.5,10,17,210,COMPLETE
137,0.9585450480456247,5.997598933403074,30.0,sqrt,10,14,290,COMPLETE
138,0.9580109105130649,5.253126999627826,30.0,sqrt,10,18,300,COMPLETE
139,0.9407008513077321,1.5670392934967399,30.0,sqrt,10,20,300,COMPLETE
140,0.9530406346230964,5.648908597771057,30.0,0.3,9,13,270,COMPLETE
141,0.9505096084104773,5.726873901926409,30.0,sqrt,3,14,230,COMPLETE
142,0.9583599950745244,5.982956691054161,30.0,sqrt,10,15,280,COMPLETE
143,0.9578341453112609,5.346628482118007,30.0,sqrt,10,14,350,COMPLETE
144,0.9155623681399484,0.7918942964295328,20.0,sqrt,10,13,250,COMPLETE
145,0.9577467343524573,5.549003665460856,30.0,sqrt,10,17,260,COMPLETE
146,0.9584311210983151,5.958262143051033,30.0,sqrt,10,14,290,COMPLETE
147,0.9572178562059371,4.757802424157598,30.0,sqrt,10,13,310,COMPLETE
148,0.9325950413364749,1.2935662535064039,30.0,0.2,10,16,230,COMPLETE
149,0.9576973801029657,5.124277537869787,30.0,sqrt,10,18,210,COMPLETE
150,0.9573967522891472,5.703553238899287,30.0,sqrt,9,15,200,COMPLETE
151,0.9585950416994539,5.986147840283579,30.0,sqrt,10,15,220,COMPLETE
152,0.9584812766733232,5.997072725369174,30.0,sqrt,10,15,220,COMPLETE
153,0.9579602798862855,5.414586468154129,50.0,sqrt,10,17,270,COMPLETE
154,0.9456880523169847,1.969747395852481,30.0,sqrt,10,13,240,COMPLETE
155,0.9583210757646444,5.694098570163886,30.0,sqrt,10,19,290,COMPLETE
156,0.9517136313963803,5.287327661891522,,0.5,10,15,190,COMPLETE
157,0.9576202974861054,5.9857071824070465,30.0,sqrt,9,16,230,COMPLETE
158,0.9573785433795986,4.98265112661588,30.0,sqrt,10,14,220,COMPLETE
159,0.9482617717789471,5.5431153117196885,30.0,sqrt,2,15,320,COMPLETE
160,0.9585621679691236,5.711387052641665,30.0,sqrt,10,13,250,COMPLETE
161,0.9580417857735041,5.752221400477116,30.0,sqrt,10,13,250,COMPLETE
162,0.9581337931198982,5.444393748756568,30.0,sqrt,10,12,260,COMPLETE
163,0.9578834129061077,5.185786758617285,30.0,sqrt,10,14,270,COMPLETE
164,0.9585092153782783,5.980848701711351,30.0,sqrt,10,13,200,COMPLETE
165,0.9582370023518143,5.679808622066451,30.0,sqrt,10,14,210,COMPLETE
166,0.9529929472570351,5.990997655122312,30.0,sqrt,4,14,240,COMPLETE
167,0.9583479954681545,5.701716287847509,30.0,sqrt,10,13,200,COMPLETE
168,0.9578374914838083,5.465126921049366,30.0,sqrt,10,13,280,COMPLETE
169,0.9581595976908774,5.976279078901441,20.0,sqrt,9,17,230,COMPLETE
170,0.9530929457127814,4.902613861771522,30.0,0.3,10,12,200,COMPLETE
171,0.9576898505870258,5.304270905133538,30.0,sqrt,10,16,220,COMPLETE
172,0.958123485751666,5.652233842826621,30.0,sqrt,10,12,250,COMPLETE
173,0.9582659116263953,5.712166296551318,30.0,sqrt,10,18,190,COMPLETE
174,0.9069060365371425,0.652125414834847,30.0,sqrt,10,15,290,COMPLETE
175,0.9561326042472998,5.985271724608273,30.0,0.2,10,12,280,COMPLETE
176,0.9233176877872676,0.9462523507113834,50.0,sqrt,10,13,210,COMPLETE
177,0.9578042701513922,5.206691150611261,30.0,sqrt,10,13,260,COMPLETE
178,0.9579896378341299,5.462565216562952,,sqrt,10,15,240,COMPLETE
179,0.9585836876183307,5.986013482748664,30.0,sqrt,10,11,300,COMPLETE
180,0.9576998504682631,5.7407709197375985,30.0,sqrt,9,14,300,COMPLETE
181,0.9584432253726423,5.968054887269338,30.0,sqrt,10,11,300,COMPLETE
182,0.9578361425530844,5.484421882426239,30.0,sqrt,10,11,270,COMPLETE
183,0.9588898316326618,5.988346544075297,30.0,sqrt,10,12,310,COMPLETE
184,0.9582787502271731,5.661576940713403,30.0,sqrt,10,12,310,COMPLETE
185,0.9584868027256475,5.967183861375456,30.0,sqrt,10,12,320,COMPLETE
186,0.9586444660791913,5.955306187747439,30.0,sqrt,10,13,330,COMPLETE
187,0.9581635487308461,5.452452055323,30.0,sqrt,10,13,330,COMPLETE
188,0.9578797091703358,5.096461806350806,30.0,sqrt,10,13,340,COMPLETE
189,0.9584160490139687,5.71734781121675,30.0,sqrt,10,12,310,COMPLETE
190,0.9524566247747593,5.983922828666445,30.0,0.5,10,12,330,COMPLETE
191,0.958807181504254,5.981771770878591,30.0,sqrt,10,14,330,COMPLETE
192,0.9582255734861683,5.535398608783697,30.0,sqrt,10,14,340,COMPLETE
193,0.9581893852142498,5.73663553996595,30.0,sqrt,10,13,330,COMPLETE
194,0.9567925371912196,5.99516251812617,30.0,sqrt,6,18,320,COMPLETE
195,0.9582339379163135,5.298884403729448,30.0,sqrt,10,13,350,COMPLETE
196,0.9579021378860123,5.52415961870993,30.0,sqrt,10,14,320,COMPLETE
197,0.9586702622679049,5.996157960952106,30.0,sqrt,10,3,370,COMPLETE
198,0.9585297585802895,5.729613428656764,30.0,sqrt,10,17,290,COMPLETE
199,0.9580074334271304,5.267042489083201,20.0,sqrt,10,3,380,COMPLETE
